,close,Prediction,Ratio
135,62.150002,62.75,0.9654030260529911
136,62.75,63.0,0.3984063745019917
137,63.0,62.950001,-0.07936349206348892
138,62.950001,64.050003,1.7474217355453403
139,64.050003,64.25,0.31225135149486327
140,64.25,64.25,0.0
141,64.25,63.849998,-0.6225712062256861
142,63.849998,63.599998,-0.3915426904163688
143,63.599998,62.650002,-1.493704449487554
144,62.650002,62.950001,0.47884914672469137
145,62.950001,63.200001,0.39714058145925435
146,63.200001,63.25,0.07911234052038196
147,63.25,63.5,0.39525691699604515
148,63.5,63.400002,-0.157477165354325
149,63.400002,62.400002,-1.5772870164893704
150,62.400002,61.599998,-1.2820576512161064
151,61.599998,60.75,-1.379866927917761
152,60.75,60.099998,-1.0699621399177017
153,60.099998,60.200001,0.16639434829930355
